DEPARTAMENTO,MUNICIPIO,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD 
HUILA,ACEVEDO,2010-01-14,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
HUILA,ACEVEDO,2010-01-30,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2010-02-21,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
HUILA,ACEVEDO,2010-02-28,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
HUILA,ACEVEDO,2010-03-29,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
HUILA,ACEVEDO,2010-06-09,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2010-06-14,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
HUILA,ACEVEDO,2010-08-12,MASCULINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,1
HUILA,ACEVEDO,2010-08-14,MASCULINO,OTROS,ADULTOS,2
HUILA,ACEVEDO,2010-08-29,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2010-09-07,MASCULINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,1
HUILA,ACEVEDO,2010-09-19,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2010-09-19,MASCULINO,ARTÍCULO 274. TRÁFICO DE MONEDA FALSIFICADA,ADULTOS,1
HUILA,ACEVEDO,2010-10-03,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2010-10-06,MASCULINO,OTROS,ADULTOS,1
HUILA,ACEVEDO,2010-10-06,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2010-10-11,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADOLESCENTES,1
HUILA,ACEVEDO,2010-11-09,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
HUILA,ACEVEDO,2010-11-14,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
HUILA,ACEVEDO,2010-12-11,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2010-12-12,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2010-12-19,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
HUILA,ACEVEDO,2010-12-24,MASCULINO,ARTÍCULO 239. HURTO MOTOCICLETAS,ADULTOS,1
HUILA,ACEVEDO,2010-12-25,FEMENINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
HUILA,ACEVEDO,2010-12-25,FEMENINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2010-12-25,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,3
HUILA,ACEVEDO,2010-12-25,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
HUILA,ACEVEDO,2010-12-25,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2011-02-27,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
HUILA,ACEVEDO,2011-03-10,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
HUILA,ACEVEDO,2011-03-14,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
HUILA,ACEVEDO,2011-03-30,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADOLESCENTES,1
HUILA,ACEVEDO,2011-04-09,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
HUILA,ACEVEDO,2011-04-16,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
HUILA,ACEVEDO,2011-04-16,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2011-04-17,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2011-04-23,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
HUILA,ACEVEDO,2011-05-29,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
HUILA,ACEVEDO,2011-06-07,MASCULINO,ARTÍCULO 239. HURTO MOTOCICLETAS,ADOLESCENTES,1
HUILA,ACEVEDO,2011-06-11,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2011-06-12,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
HUILA,ACEVEDO,2011-07-05,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
HUILA,ACEVEDO,2011-07-17,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2011-07-22,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2011-07-23,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
HUILA,ACEVEDO,2011-08-06,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2011-08-07,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
HUILA,ACEVEDO,2011-09-10,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
HUILA,ACEVEDO,2011-09-19,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
HUILA,ACEVEDO,2011-10-09,MASCULINO,ARTÍCULO 274. TRÁFICO DE MONEDA FALSIFICADA,ADULTOS,1
HUILA,ACEVEDO,2011-10-19,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2011-10-21,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADOLESCENTES,1
HUILA,ACEVEDO,2011-10-22,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2011-10-23,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2011-11-06,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2011-11-10,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2011-11-11,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2011-11-12,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
HUILA,ACEVEDO,2011-11-14,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
HUILA,ACEVEDO,2011-11-16,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,3
HUILA,ACEVEDO,2011-11-23,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
HUILA,ACEVEDO,2011-11-25,MASCULINO,ARTÍCULO 239. HURTO MOTOCICLETAS,ADOLESCENTES,1
HUILA,ACEVEDO,2011-11-26,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
HUILA,ACEVEDO,2011-11-26,MASCULINO,ARTÍCULO 274. TRÁFICO DE MONEDA FALSIFICADA,ADULTOS,1
HUILA,ACEVEDO,2011-11-27,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
HUILA,ACEVEDO,2011-12-03,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADOLESCENTES,1
