DEPARTAMENTO,MUNICIPIO,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD 
SAN ANDRÉS,PROVIDENCIA,2010-01-06,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,3
SAN ANDRÉS,PROVIDENCIA,2010-01-15,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-02-05,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-02-19,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,2
SAN ANDRÉS,PROVIDENCIA,2010-03-05,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-04-01,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-04-26,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
SAN ANDRÉS,PROVIDENCIA,2010-05-10,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-05-11,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-05-13,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,2
SAN ANDRÉS,PROVIDENCIA,2010-05-28,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
SAN ANDRÉS,PROVIDENCIA,2010-05-28,MASCULINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-06-20,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-06-25,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,2
SAN ANDRÉS,PROVIDENCIA,2010-07-11,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADOLESCENTES,1
SAN ANDRÉS,PROVIDENCIA,2010-08-18,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-08-18,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-08-24,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-09-05,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,2
SAN ANDRÉS,PROVIDENCIA,2010-10-13,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2010-10-22,FEMENINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
SAN ANDRÉS,PROVIDENCIA,2011-01-17,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,2
SAN ANDRÉS,PROVIDENCIA,2011-04-15,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,5
