DEPARTAMENTO,MUNICIPIO,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD 
TOLIMA,ALPUJARRA,2010-02-10,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
TOLIMA,ALPUJARRA,2010-02-27,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
TOLIMA,ALPUJARRA,2010-05-24,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADOLESCENTES,1
TOLIMA,ALPUJARRA,2010-06-03,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
TOLIMA,ALPUJARRA,2010-08-24,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
TOLIMA,ALPUJARRA,2010-11-03,FEMENINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
TOLIMA,ALPUJARRA,2010-11-20,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
TOLIMA,ALPUJARRA,2010-12-08,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
TOLIMA,ALPUJARRA,2010-12-15,MASCULINO,OTROS,ADULTOS,2
TOLIMA,ALPUJARRA,2010-12-20,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
TOLIMA,ALPUJARRA,2011-04-30,MASCULINO,ARTÍCULO 249. ABUSO DE CONFIANZA,ADULTOS,1
