MES,LATITUD,LONGITUD,CANTIDAD
2010-01,-3.530058784,-70.04513691,11
2010-01,-3.631323222,-70.471990393,4
2010-01,6.365534125,-75.090597022,1
2010-01,6.032921994,-75.708003098,4
2010-01,6.977788843,-74.981239298,4
2010-01,5.604993248,-75.941283908,20
2010-01,6.121430303,-75.715949663,1
2010-01,7.86047815,-76.582362643,7
2010-01,8.611395262,-76.414783173,1
2010-01,6.163683758,-75.809955281,1
2010-01,6.443417935,-75.329240854,2
2010-01,6.358841086,-75.589735878,170
2010-01,5.727081285,-75.986891074,1
2010-01,6.185783612,-75.956492463,1
2010-01,6.423463639,-75.99351498,1
2010-01,6.054446841,-75.626426743,14
2010-01,6.33797388,-74.733548173,1
2010-01,7.757967437,-76.643746573,5
2010-01,7.867941792,-75.035018239,2
2010-01,6.814950023,-76.02689632,1
2010-01,7.631665644,-76.639642127,11
2010-01,6.550065431,-75.08254116,3
2010-01,5.840995666,-76.010652526,6
2010-01,6.057468678,-75.900146783,5
2010-01,6.351882893,-75.50075633,7
2010-01,6.492403905,-75.422276872,1
2010-01,7.704633351,-74.664277263,5
2010-01,5.978078841,-75.263536102,5
2010-01,6.124209495,-75.252122776,1
2010-01,6.154394922,-75.546867788,31
2010-01,5.887702934,-75.679262419,1
2010-01,6.691364773,-76.33199656,1
2010-01,6.379745895,-75.447957442,8
2010-01,6.123380721,-75.127636463,1
2010-01,6.266625703,-75.437308008,7
2010-01,6.236329826,-75.156512723,1
2010-01,6.709562839,-75.192702912,1
2010-01,6.214511788,-75.749710019,4
2010-01,5.797039002,-75.906692028,2
2010-01,6.179279438,-75.614203699,50
2010-01,5.769820536,-75.764882556,1
2010-01,5.992524843,-75.430869347,4
2010-01,6.137595883,-75.648954991,14
2010-01,5.746583958,-75.60220206,1
2010-01,5.940434685,-75.354290227,1
2010-01,6.534573585,-74.714108541,1
2010-01,6.18520515,-75.304879329,4
2010-01,6.257590259,-75.611031065,798
2010-01,7.329557848,-76.463065695,1
2010-01,8.493728551,-76.676995884,1
2010-01,6.611418083,-75.775670969,1
2010-01,6.481922267,-74.528742101,4
2010-01,5.954830151,-74.686191798,3
2010-01,6.053444254,-75.515738045,1
2010-01,6.150785807,-75.410760524,53
2010-01,6.138305183,-75.608805993,3
2010-01,5.970502334,-75.981372511,6
2010-01,6.31074453,-74.998586516,1
2010-01,6.466165211,-74.945073196,3
2010-01,5.878984956,-75.583303711,2
2010-01,6.535711576,-75.904266579,3
2010-01,6.675827825,-75.438143332,3
2010-01,7.26692339,-74.621639263,6
2010-01,5.826388779,-74.836376225,2
2010-01,7.488875998,-75.401894377,3
2010-01,5.871064557,-75.828711443,1
2010-01,8.173851745,-76.574037701,20
2010-01,5.673758571,-75.709799743,2
2010-01,6.33534134,-76.259064819,13
2010-01,7.265404213,-75.400945015,3
2010-01,5.956576355,-75.777224226,3
2010-01,6.9881309,-75.454399574,5
2010-01,6.796280825,-70.509211529,12
2010-01,6.906941714,-71.850707567,3
2010-01,10.793293019,-74.922194906,1
2010-01,10.98152051,-74.827715439,211
2010-01,10.38405079,-74.884660393,1
2010-01,10.823065032,-75.078419039,1
2010-01,10.848288642,-74.806175549,6
2010-01,10.694812078,-74.770150903,1
2010-01,11.004422597,-74.907405804,1
2010-01,10.507570513,-75.121880527,1
2010-01,10.798940151,-74.768796603,2
2010-01,10.622507773,-74.955105416,5
2010-01,10.755626561,-74.78726468,3
2010-01,10.906906595,-74.778424903,36
2010-01,10.164221225,-75.371217884,9
